name,rating,benefits,categories,key_points,description
Denatured Alcohol,Worst,,"Irritant, Solvent, Texture Enhancer",A type of volatile alcohol that can irritate skin | Depletes key substances in skin’s moisture barrier | Can be used as a solvent & to improve the texture of fluid/gel formulas | Volatility makes it a quick-drying ingredient that won’t leave a film | Enhances the penetration of other ingredients,Denatured alcohol has solvent and texture-enhancing properties in cosmetics but has proven to damage and dehydrate skin.
Dimethyl Ether,Worst,,"Solvent, Texture Enhancer",,Colorless gas used as a propellant in aerosol products. It is potentially harmful if inhaled.
Elecampane,Worst,,"Irritant, Plant Extracts",,Latin name Inula helenium; it is a plant that can be very sensitizing to the skin.
English Ivy Extract,Worst,,"Plant Extracts, Irritant",,Plant extract that can be a skin sensitizer due to its stimulant and astringent (skin-constricting) properties.
Environmental Damage,Worst,,,,Occurrence that takes place at an atomic level and is a complex physiological process.
Esculin,Worst,,"Irritant, Plant Extracts",,"Component of horse chestnut, it is considered harmful and is not recommended for skin."
Essential Oil,Worst,,"Fragrance: Synthetic and Natural, Irritant, Antioxidant","A group of primarily plant-derived volatile oils | Primarily used as a fragrant agent in cosmetics | Often include a mix of skin-sensitizing compounds | Can cause skin redness, dryness and flaking | Some essential oils also have antioxidant properties",Volatile fragrant ingredients containing many skin-sensitizing aromatic compounds.
Ethanol,Worst,,"Irritant, Solvent",,Denatured alcohol used as a solvent. It can be drying and sensitizing to skin when one of the main ingredients in the formula.
Ethylene Brassylate,Worst,,"Fragrance: Synthetic and Natural, Irritant","Ingredient used to impart a sweet, musky odor | Also used as a flavor additive | Research indicates it is non-toxic | Has potential to cause skin irritation | Colorless to pale yellow viscous liquid in its raw form","Synthetic fragrance ingredient used to impart a sweet, musky odor to cosmetics. Can irritate skin."
Eucalyptus Extract,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",,"Extract that may have beneficial properties on the skin. Despite those benefits, it's also a skin sensitizer, particularly on abraded skin."
Eucalyptus Oil,Worst,,"Irritant, Fragrance: Synthetic and Natural, Plant Extracts",,Fragrant plant oil whose active constituents are found in the leaves and the oil obtained from them.
Eugenia Aromatica,Worst,,"Irritant, Plant Extracts",,"Also known as clove, the leaf, oil, and extract from this plant can be potent skin sentizers when applied repeatedly."
Eugenia Caryophyllus Oil,Worst,,"Irritant, Plant Extracts, Fragrance: Synthetic and Natural, Antibacterial, Antioxidant",Commonly known as clove oil | Frequent flavor additive | Also used in some traditional medicine applications | High eugenol content is a skin irritant | Can be cytotoxic and genotoxic,This oil made from the buds of a flowering tree is highly aromatic and can irritate skin.
Eugenol,Worst,,"Fragrance: Synthetic and Natural, Irritant",,Fragrance chemical that occurs naturally in some plant ingredients.
Fennel Oil,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",,"Volatile, fragrant oil that can cause skin sensitivity."
Fennel Seed Extract,Worst,,"Plant Extracts, Irritant, Antioxidant",,"Can have antioxidant properties, but on skin it can be a skin sensitizer."
Ferula Galbaniflua,Worst,,"Fragrance: Synthetic and Natural, Plant Extracts",,"Fragrant substance that, because of its resin and volatile oil content, can be extremely sensitizing."
Fir Needle Oil,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",,"Volatile, fragrant oil that can cause skin sensitivity."
Floralozone,Worst,,"Fragrance: Synthetic and Natural, Irritant",,One of a number of synthetic fragrant components.
Foeniculum Vulgare Extract,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",,"Can have antioxidant properties, but on skin it can be a sensitizer."
Frankincense Extract,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",,Fragrant component used in skin care products; it can be a skin sensitizer.
Gaultheria procumbens (wintergreen) leaf oil,Worst,,"Irritant, Fragrance: Synthetic and Natural, Plant Extracts",,A type of mint that is often used for addressing the discomfort of sore muscles but can also be very sensitizing to skin.
Geranium Oil,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",,Fragrant oil that can have beneficial properties but also can be a skin sensitizer.
Geranium Pratense,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",,Geranium plant.
Ginger Oil,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",,"A fragrant plant oil that, depending on the species, can contain dozens of volatile compounds that have a known or potential risk to sensitize skin."
Grapefruit Oil,Worst,,"Irritant, Fragrance: Synthetic and Natural, Plant Extracts",,Citrus oil whose volatile components (chiefly substances known as furocoumarins) are sensitizing.
Grapefruit Peel Extract,Worst,,"Irritant, Plant Extracts, Antioxidant",,"Typically listed as Citrus paradisi (grapefruit) peel extract on ingredient lists, the peel from this fruit is loaded with a class of ingredients which are primarily responsible for what's known as a phototoxic reaction."
Grapefruit Seed Extract,Worst,,"Plant Extracts, Preservative",,"Labelled as Citrus paradisi (grapefruit) seed extract, this is often claimed as a natural preservative."
Hamamelis Virginiana,Worst,Oil Control,"Oil Control, Irritant, Plant Extracts, Antioxidant","Also known as witch hazel | Can have potent antioxidant properties | Has a high tannin content, making it potentially sensitizing",Plant extract that can deliver antioxidant properties but is also sensitizing if used repeatedly because it denatures proteins that help keep skin healthy.
Hamamelitannin,Worst,Oil Control,"Oil Control, Irritant, Plant Extracts, Antioxidant",Present in witch hazel | A tannin with antioxidant properties | Can denature skin | Skin-sensitizer with repeated use,Tannin that is found in witch hazel. It can be a skin sensitizer but it also has antioxidant properties.
Hayflower Extract,Worst,,"Irritant, Plant Extracts",,"Plant extract that, due to its constricting effect on skin, can be sensitizing."
Hedione,Worst,,"Fragrance: Synthetic and Natural, Plant Extracts",,"Synthetic fragrant component in products, which also can be a skin sensitizer."
Hexyl Cinnamal,Worst,,"Fragrance: Synthetic and Natural, Irritant","Naturally occurring, aromatic compound with a jasmine-like aroma | Synthetic versions are commonly used in commercial products | Acts as a masking agent to cover the unpleasant odor of other ingredients in formulations | Known to sensitize skin & internationally recognized as a contact allergen | May also be used as a preservative booster to prolong the shelf-life of formulations",Skin-sensitizing fragrance ingredient with a jasmine-like aroma used to mask the odor of other ingredients in a formulation
Horse Elder,Worst,,"Plant Extracts, Irritant",,Latin name Inula helenium; it is a plant that can be very sensitizing to the skin.
Horseradish,Worst,,"Irritant, Plant Extracts",,Plant that can sensitize skin and should never be applied to abraded skin.
Ho Wood Oil,Worst,,"Fragrance: Synthetic and Natural, Plant Extracts, Irritant","Essential oil derived from the camphor tree | Also known as Cinnamomum camphora bark oil | Serves as a fragrant and masking ingredient in skin care | Features camphor, a skin-sensitizing aromatic compound",A fragrant essential oil derived from the bark of the camphor tree that contains skin-sensitizing compounds like linalool and camphor.
Hydnocarpus Anthelmintica,Worst,,"Plant Extracts, Irritant",,Potential skin irritant
Hydrastis Canadenis,Worst,,"Plant Extracts, Irritant",,"Also known as goldenseal, this plant extract can irritate skin."
Hydrogen Peroxide,Worst,,"Irritant, Antibacterial","Strong antibacterial/oxidizing agent that can damage healthy skin cells in its wake | High concentrations can lead to severe skin (including scalp) reactions | Rarely used in modern day skin care but common within hair coloring products | Not recommended for acne and dark spots, despite outdated advice touting such","Antibacterial, not commonly used in skin care due to its irritating effects."
Hydroxycitronellal,Worst,,"Fragrance: Synthetic and Natural, Irritant",Skin-sensitizing fragrance used for its floral scent | Derived from the volatile fragrant compound citronellol | EU-identified as a “fragrance allergen” | Also used in other personal hygiene and care products,Synthetic fragrance compound with a floral scent that’s derived from the volatile citronellol. It can cause skin sensitization.
Illicium Verum Anise Fruit Extract,Worst,,"Fragrance: Synthetic and Natural, Plant Extracts, Antioxidant",Plant-derived cosmetic ingredient | Primarily used as a perfuming agent | Can have antioxidant properties | Often includes volatile aromatic compounds that can cause skin sensitization,"Also known as aniseed, it can have antioxidant properties, but its fragrant components make this a potential skin sensitizer."
Inula Helenium,Worst,,"Irritant, Plant Extracts",,This plant can be very sensitizing to the skin.
Inula Helenium Extract,Worst,,"Irritant, Plant Extracts",,This plant extract can be very sensitizing to the skin.
Iris Florentina Extract,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",,Potential skin irritant due to its fragrant component.
Iris Florentina Root,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",,Used primarily as a fragrant component due to its violet-like scent.
Irritants,Worst,,Irritant,"Include ingredients such as harsh scrubs, drying alcohols, and essential oils | Damage skin both immediately and over time | Can increase oiliness in oily skin + dryness in dry skin | Many natural or organic ingredients can irritate skin","These ingredients, whether it’s noticeable or not, do damage to skin over time that can lead to increased dryness, breakouts, and redness."
Isopropyl Alcohol,Worst,,Solvent,Also called rubbing alcohol or isopropanol | Used in cosmetics and sunscreens as a solvent | Also a penetration enhancer | Well known to be drying and sensitizing,"This type of alcohol is known to be drying and sensitizing to skin, especially with repeated use."
Ivy Extract,Worst,,"Irritant, Plant Extracts",,Plant extract that can be sensitizing due to its astringent (skin-constricting) properties.
Jasmine Oil,Worst,,"Fragrance: Synthetic and Natural, Plant Extracts, Emollient",,"Fragrant oil, often used as a source of perfume, that can be a skin sensitizer."
Jasminium Grandiflorum,Worst,,"Fragrance: Synthetic and Natural, Plant Extracts, Antioxidant",,"Commonly known as jasmine, this contains volatile fragrance chemicals (chiefly linalool) that can be skin sensitizers."
Jonquil Extract,Worst,,"Fragrance: Synthetic and Natural, Plant Extracts, Irritant",,Fragrant plant extract that poses a strong risk of skin sensitization.
Juniper Berry,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",,"This plant, can have soothing properties, but can result in skin sensitivity if applied repeatedly."
Juniperus Communis,Worst,,"Plant Extracts, Fragrance: Synthetic and Natural, Irritant",,"This plant, also known as juniper, can have soothing properties, but can result in skin sensitivity if applied repeatedly."
Kathon CG,Worst,,Preservative,Also called Kathon™ Cosmetic Grade | Combination of two sensitizing synthetic preservatives | Can cause contact dermatitis,This cosmetics preservative is well known for its sensitizing and irritating impact on skin.
Kava-Kava Extract,Worst,,"Plant Extracts, Irritant","Plant extract derived from the Piper methysticum plant | Applied topically and ingested | Can cause skin sensitivity, redness and itchiness | Cosmetic Ingredient Review Expert Panel hasn’t confirmed its safety",A plant extract taken from the roots or stump of the Piper methysticum plant that causes skin sensitivity when applied or ingested.
Kawa Extract,Worst,,"Plant Extracts, Irritant","AKA kava-kava extract | Ingredient and plant extract derived from Piper methysticum | Can be applied topically and ingested | Can cause skin sensitivity, redness and itchiness","Plant extract, AKA kava-kava extract, that can cause redness, itchiness and skin sensitivity when applied or ingested."
Lady's Mantle Extract,Worst,,"Irritant, Plant Extracts","Plant extract derived from the perennial, Alchemilla vulgaris | Might exhibit antioxidant benefits | Contains a type of tannin that denatures skin | Can cause dryness","Plant extract with antioxidants, among them skin-sensitizing tannins."
Laurus Nobilis,Worst,,"Fragrance: Synthetic and Natural, Antioxidant, Irritant","Aromatic plant extract used in cosmetics, wellness and culinary endeavors | Can have antioxidant properties | Contains volatile fragrant compounds that sensitize skin | Might cause redness, irritation and dryness",Plant whose extracts and oils contain volatile fragrant compounds that can cause skin irritation.
Lavandin Oil,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts","Essential oil derived from the Lavandula hybrida plant | Contains volatile aromatic compounds | Can sensitize skin | Used in cosmetics, homecare and household items",A hybrid lavender oil that contains volatile and skin-sensitizing aromatic compounds.
Lavandula Angustifolia,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",Plant-based volatile oil taken from lavender | Contains fragrant compounds like linalool | Can cause short-term and long-term skin sensitization | Used in cosmetics in creams and lotions at concentrations between 0.015% and 0.1%,"A plant, AKA lavender, whose aromatic extracts and oils can cause skin sensitization."
Lavandula Officinalis,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts","Previous name for Lavandula angustifolia, AKA lavender | Plant-based volatile oil taken from lavender | Contains fragrant compounds | Can cause skin sensitization after oxidization","Previous name for Lavandula angustifolia, AKA lavender. Contains volatile fragrant compounds that can sensitize skin."
Lavender Extract And Oil,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",Extracts and oils taken from Lavandula angustifolia | Contains pro-aging fragrant compounds | Volatile components can oxidize and trigger damage | Can cause skin redness and dryness,Fragrant ingredients taken from the Lavandula angustifolia plant that can cause skin sensitization.
Lemon,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts","Citrus fruit, AKA Citrus limon and Citrus medica limonum | Its oils, juices and extracts can cause skin sensitivity | Contains volatile fragrance compounds | Has photosensitizing compounds","AKA Citrus limon and Citrus media limonum, lemon can cause skin sensitivity due to photosensitive compounds, it’s high acidity and volatile fragrance chemicals."
Lemon Balm,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",,"This type of herb comes from the mint family. Though it has antioxidant properties, it also poses a risk of skin irritation due to its fragrant components."
Lemongrass Extract,Worst,,"Fragrance: Synthetic and Natural, Plant Extracts, Antioxidant",,"Extract that can have beneficial properties, but it also may be a skin sensitizer."
Lemongrass Oil,Worst,,"Fragrance: Synthetic and Natural, Irritant",,Also known as Oil of Verbena; can be effective as a mosquito repellent.
Lemon Juice,Worst,,"Irritant, Fragrance: Synthetic and Natural, Plant Extracts","Juice from the citrus lemon, AKA Citrus limon and Citrus medica limonum | Its high acidity can cause barrier disruption | Contains antioxidants and photosensitive compounds | Better to consume orally than apply topically",Highly acidic citrus based juice that can cause skin sensitization due to volatile compounds and a low pH.
Lemon Oil,Worst,,"Irritant, Fragrance: Synthetic and Natural, Plant Extracts","Fragrant volatile oil derived from lemon | Can be extracted from lemon stem, leaf, fruit, peel and seed | Contains fragrant, skin sensitizing compounds like limonene | Can cause photosensitivity","Commonly used citrus oil that can be a skin sensitizer, especially on abraded skin."
Levisticum Officinale Root Extract,Worst,,"Fragrance: Synthetic and Natural, Plant Extracts",Plant extract also known as lovage extract | Fragrant ingredient used in cosmetics | Can cause short-term and long-term skin sensitization | Also has applications in the food industry,"Plant extract, AKA lovage root extract, that contains volatile fragrant compounds known to irritate skin."
Lime Oil And Extract,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",,Citrus fruit whose volatile compounds are sensitizing.
Limonene,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",Monoterpene commonly found in citrus oils | Primarily used as a fragrance in cosmetics | Oxidizes when exposed to air | Can cause skin sensitization,A volatile chemical compound often found in citrus oils. It’s used as a fragrance and solvent but can sensitize skin.
Linalool,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts","A terpene alcohol found in certain plants, like lavender | Functions as a perfuming agent | Can cause skin sensitization | Appears as a colorless liquid as a raw material","A plant-derived fragrant compound that can cause skin sensitization, especially when exposed to air."
Litsea Cubeba,Worst,,"Fragrance: Synthetic and Natural, Irritant","Plant that produces volatile, fragrant oils | Contains skin-sensitizing compounds, like citral, limonene and linalool | Antioxidant with potential anti-microbial properties | May cause skin redness, dryness and irritation","The litsea or may chang plant produces fragrant essential oils whose aromatic compounds, like citral, are known to irritate skin."
Litsea Cubeba Fruit Extract,Worst,,"Fragrance: Synthetic and Natural, Irritant","Derived from the Litsea cubeba plant | Primarily used as a perfuming agent in cosmetics | Contains volatile and skin-sensitizing aromatic compounds | May cause dryness, redness and itchiness",Fragrant volatile oil and plant extract taken from the fruits of the Litsea cubeba plant that can sensitize skin.
Lovage Root Extract,Worst,,"Fragrance: Synthetic and Natural, Plant Extracts",Plant extract also known as Levisticum officinale root extract | Fragrance and perfuming ingredient | Can cause short- and long-term skin sensitization | Also has applications in the food industry,"Plant extract, AKA Levisticum officinale root extract, that contains volatile fragrant compounds known to irritate skin."
Lye,Worst,,"Irritant, pH Adjuster/Stabilizer",,A highly alkaline ingredient used in small amounts in cosmetics.
Mandarin Orange Oil Or Extract,Worst,,"Fragrance: Synthetic and Natural, Irritant",,Primarily used as a fragrance; it can be a skin sensitizer.
Marjoram,Worst,,"Fragrance: Synthetic and Natural, Irritant","Essential oil taken from the Origanum majorana plant | Aromatic, volatile compounds are present in its volatile oils | Can sensitize skin | Often used in the food industry as a seasoning",The essential oils and extracts taken from the Origanum majorana plant contain volatile aromatic compounds which can sensitize skin.
Melaleuca Cajeputi Oil,Worst,,"Irritant, Plant Extracts",Plant derived essential oil derived from the Melaleuca cajeputi tree | Primarily serves as a perfuming agent in cosmetics | Can cause skin sensitization | From the same genus as the tree (Melaleuca alternifolia) that produces tea tree oil,"A volatile, plant-derived oil primarily used as a perfuming agent. This oil contains fragrant compounds like cineole, linalool and terpineol that can sensitize skin."
Melissa Officinalis,Worst,Anti-Aging,"Anti-Aging, Fragrance: Synthetic and Natural, Plant Extracts, Antioxidant",Commonly known as lemon balm | Has antioxidant and antimicrobial properties | Certain components can protect skin against blue light and improve barrier function | Oil is sensitizing and can cause allergic contact dermatitis,"This herbaceous plant has antioxidant properties, but its oil can be sensitizing to skin."
Mentha Arvensis Extract,Worst,,"Irritant, Plant Extracts","A species of plant (AKA corn mint) from the mint family | Extracts can contain menthone, a sensitizing compound that offers a unique cooling sensation | Other components include menthone and isomenthol, volatile fragrant compounds | Can cause skin sensitization including redness, dryness, itchiness and tightness | Also offers antioxidant properties (but they’re not worth the risk of irritation)","Mentha arvensis (AKA corn mint) extract comes from a plant species that produces oils and extracts that contain sensitizing compounds including menthol, menthone and isomenthol."
Mentha Piperita,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",,"Both the oil and the extract can have disinfectant properties, but they can also have a sensitizing effect on skin."
Mentha Spicata,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",,"Also known as spearmint, this is the source of a volatile oil that can be sensitizing when applied topically to skin."
Mentha Viridis (Spearmint) Extract,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts","The spearmint plant is also known as Mentha spicata | Used in cosmetics primarily as a perfuming agent | Contains 1,8-cineole, limonene and carvone, sensitizing aromatic compounds | Can also contain antioxidant properties, but the irritation risk isn’t worth it","Mentha viridis (spearmint) extract, also known as Mentha spicata, is a species of plant that produces minty fragrant oils with volatile aromatic compounds that can sensitize skin."
Menthol,Worst,,"Irritant, Plant Extracts, Fragrance: Synthetic and Natural",Plant extract derived from peppermint | Used as a fragrance in skin care and cosmetics | Offers a unique cooling sensation when applied topically | Can cause skin sensitization,Skin sensitizing plant extract derived from peppermint used largely for its scent and its unique cooling sensation when applied topically.
Menthone,Worst,,"Irritant, Fragrance: Synthetic and Natural, Plant Extracts",Volatile plant extract commonly derived from peppermint | Exhibits a minty scent | Can cause skin sensitization | Also has applications in the health and food industries,Skin-sensitizing plant extract commonly derived from peppermint used largely for its scent and unique cooling sensation when applied topically.
Menthoxypropanediol,Worst,,"Irritant, Fragrance: Synthetic and Natural",Synthetic derivative of menthol | Most commonly used in lip care | Incites a cooling sensation when topically applied | Can cause skin sensitization,Menthoxypropanediol is a fragrant and cooling cosmetics ingredient most often used in lip care that can cause skin sensitization.
Menthyl Lactate,Worst,,"Irritant, Fragrance: Synthetic and Natural","Derivative of menthol | Exhibits a light, minty scent | Prompts a cool, tingling sensation when applied topically | Can cause skin sensitization","Menthyl lactate is an ester of menthol used in skin care and cosmetics for its scent and cooling effect, but it can cause sensitivity."
Methanol,Worst,,"Irritant, Fragrance: Synthetic and Natural, Solvent","A synthetic, volatile alcohol | Can also be referred to as methyl alcohol | Used to help created denatured alcohol | Is toxic to humans when inhaled, ingested or applied topically","Methanol is a volatile, organic alcohol used to help denature other forms of alcohol. When used on its own, it’s toxic when inhaled, applied topically or ingested."
Methylchloroisothiazolinone,Worst,,"Preservative, Irritant","Also referred to as MCI, or Kathon CG (when in an ingredient blend) | Used as a preservative when combined with methylisothiazolinone | Is a well-known skin sensitizer | Can only be used in leave-on products at 7.5 ppm (parts per million) and rinse-off products at 15 ppm",Methylchloroisothiazolinone (MCI) is a skin sensitizing organic compound used as a preservative when combined with methylisothiazolinone.
Methyldibromo Glutaronitrile,Worst,,"Preservative, Irritant","Has preservative properties that helps keep products free of microorganisms | Demonstrates a track record of skin sensitization | Can cause irritation, dryness and flaking | European Union banned usage in cosmetics several years ago",Methyldibromo glutaronitrile is a well-known skin sensitizer that has preservative properties.
Methylisothiazolinone,Worst,,"Preservative, Irritant","Also referred to as MI, or Kathon CG (when in an ingredient blend) | Used as a preservative when combined with methylchloroisothiazolinone | Is a well-known skin sensitizer | Limited use in leave-on products at 7.5 ppm (parts per million) and rinse-off products at 15 ppm when in a blend",Methylisothiazolinone (MI or MIT) is a skin sensitizing compound used as a preservative in cosmetics alongside methylchloroisothiazolinone (MCI).
Methyl Salicylate,Worst,,Irritant,Also known as wintergreen oil | Used for its numbing and cooling effect | Skin sensitizer and irritant | Yellowish or reddish liquid in its raw form,"Also known as wintergreen oil, this ingredient is a skin irritant."
Mint,Worst,,"Irritant, Fragrance: Synthetic and Natural, Plant Extracts","Mint’s a genus of plants, AKA Mentha | Notable species include Mentha spicata (spearmint), Mentha x piperita (peppermint) | Often contain volatile and sensitizing fragrant compounds | Can cause short-and long-term skin irritation","Mint, AKA Mentha, is a genus of plants often used in skin care for its fragrance. Some species in this genus are also used for their unique cooling sensation."
Myrrh,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",,Fragrant gum resin that can be a skin sensitizer. There is little research showing it has any benefit for skin.
Narcissus Poeticus Flower Wax,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",,"Fragrant cosmetic ingredient that contains volatile compounds, like benzyl benzoate and limonene, that can trigger skin sensitization. Also used as a texture enhancer."
Neroli,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",,Fragrant plant that is most sensitizing to skin in its oil form.
Neroli Oil,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",,Fragrant plant oil that can be a skin sensitizer.
Olibanum Extract,Worst,,"Fragrance: Synthetic and Natural, Irritant",,Fragrant component used in skin care products; it can be a skin sensitizer.
Orange Blossom,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts","Orange blossoms are the white-to-ivory flowers characteristic of orange trees | These blossoms can produce extracts, oil and waters | Used primarily for perfuming in cosmetics and skin care | Its aromatic compounds, like linalool, can sensitize skin","A fragrant group of skin care ingredients (oils, extracts and waters) most commonly derived from the flowers of Citrus sinensis and Citrus aurantium orange trees whose volatile fragrant compounds can sensitize skin."
Orchid,Worst,Hydration,"Hydration, Fragrance: Synthetic and Natural, Plant Extracts, Humectant",,Fragrant flower that can be a skin sensitizer.
Orchid Extract,Worst,Hydration,"Hydration, Fragrance: Synthetic and Natural, Plant Extracts, Humectant",,Fragrant flower that can be a skin sensitizer.
Oregano,Worst,,"Fragrance: Synthetic and Natural, Irritant, Antioxidant",,"Has beneficial properties, but can also be a skin sensitizer."
Origanum Majorana,Worst,,"Fragrance: Synthetic and Natural, Irritant","Aromatic volatile oil from the Origanum majorana, AKA marjoram, plant | Includes phenolic compounds that can have antioxidant properties | Contains potent skin-sensitizing fragrant compounds | Used as a seasoning in the food industry",A plant extract and volatile oil that contains skin-sensitizing aromatic compounds. Also known (and used in foods) as marjoram.
Origanum Vulgare Flower Extract,Worst,,"Irritant, Plant Extracts, Antioxidant",,"Has beneficial properties, but can also be a skin sensitizer."
Orris Root,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",,Used primarily as a fragrant component due to its violet-like scent.
Palmarosa Oil,Worst,,"Fragrance: Synthetic and Natural, Irritant",,Fragrant oil that can have beneficial properties but also can be a skin sensitizer.
Papain,Worst,Smooths Bumpy Skin,"Smooths Bumpy Skin, Exfoliant, Plant Extracts, Irritant",An enzyme derived from papaya latex | Has exfoliating properties when applied topically | Can sensitize and irritate skin since it just keeps exfoliating | Promotes dryness through increasing transepidermal water loss,Exfoliating enzyme present in papaya latex that can irritate skin and disturb its barrier.
Para-Aminobenzoic Acid (PABA),Worst,Anti-Aging,"Anti-Aging, UV Filters",,Sunscreen ingredient rarely used since the 1990s because of strong potential for sensitizing reactions.
Parfum/Fragrance,Worst,,Fragrance: Synthetic and Natural,Also known as fragrance or parfum | Best known for perfuming and masking scent benefits | Can sensitize skin in the short- and long-term | Ongoing use of fragranced products can harm skin’s long-term healthy appearance | Routinely using multiple fragranced products risks compounding the damage,"AKA fragrance, volatile substances capable of sensitizing skin. Often used to impart a scent or mask unwanted formulary aromas."
Patchouli Essential Oil,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts","Also known as Pogostemon cablin leaf oil | Best known as a perfuming agent in cosmetics | Has a musky, earthy aroma | Contains volatile, skin-sensitizing compounds like eugenol",Fragrant oil derived from mint. It contains eugenol and can aggravate skin.
Pelargonium Graveolens Oil,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",,Fragrant oil (geranium) that can be a skin sensitizer.
Pellitory,Worst,,"Irritant, Plant Extracts",,Plant whose root extract can cause skin sensitivity.
Pentadecalactone,Worst,,"Fragrance: Synthetic and Natural, Irritant","A fragrant skin care ingredient with a musky, powdery scent | Also referred to as cyclopentadecanolide | Can sensitize skin due to volatile aromatic compounds | Is also used in the personal care and household goods industries","Pentadecalactone is a sensitizing ingredient used in skin care as a fragrance or masking agent due to its musky, powdery scent."
Peppermint,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",,"Both the oil and the extract can have disinfectant properties, but they can also have a sensitizing effect on skin."
Petitgrain Mandarin,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",,This citrus plant has the potential to irritate skin due to its fragrance components.
Photosensitizer,Worst,,,,Ingredient that can cause the skin to have a sensitizing reaction when exposed to sunlight.
Pine Oil,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts","Essential oil derived from many species of pine trees and shrubs | Used as a perfuming/masking agent in cosmetics | Contains aromatic compounds that can irritate skin | Has an earthy, pine scent | Does not have strong antimicrobial properties","Perfuming agent whose fresh, needle-derived pine scent can sensitize skin."
Pinus Lambertiana Wood Extract,Worst,,"Irritant, Plant Extracts",,Pine extract that may aggravate skin.
Pinus Palustris Oil,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts","An essential oil also known as pine oil | Derived from the twigs, leaves and needles of the Pinus palustris tree | Used as a perfuming agent in cosmetics | Contains skin-sensitizing volatile aromatic compounds",This fragrant plant-derived fragrant ingredient derived from the longleaf pine tree can irritate skin when applied topically.
Piper Nigrum,Worst,,"Irritant, Plant Extracts",,It can cause significant skin sensitivity.
Pogostemon Cablin,Worst,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts",,Fragrant oil derived from mint. It contains eugenol and can aggravate skin.
Potentilla Erecta Root Extract,Worst,Hydration,"Hydration, Irritant, Plant Extracts, Humectant",,"Plant that can be irritating due to its tannin content, which causes skin constriction."
Pumice,Worst,,"Exfoliant, Irritant","Type of volcanic rock characterized by its porous nature | Often used to scrub rough, calloused patches of skin | Pumice powder (pumicite) is sometimes used as a manual exfoliant | Poses a significant risk of skin irritation and barrier disruption",This volcanic rock is highly abrasive and can cause skin barrier damage.
Pyrus Cydonia,Worst,,"Plant Extracts, Irritant",,"More commonly known as quince, this plant has astringent properties and may cause skin sensitivity."
Quercus,Worst,,"Irritant, Plant Extracts",,Refers to hundreds of species of oak. Extracts of Quercus can have beneficial properties but they can also be skin sensitizing.
Quercus Alba Bark Extract,Worst,,"Plant Extracts, Irritant",,The bark extract from a type of oak that can be sensitizing when applied topically.
Quercus Infectoria Extract,Worst,,"Irritant, Plant Extracts",,This extract originating from a species of oak can cause skin sensitivity.
Quince Seed,Worst,,"Irritant, Plant Extracts, Texture Enhancer",,"Used as a thickening agent in cosmetics, but also has skin-constricting properties."
Robinia Pseudacacia Extract,Worst,,"Irritant, Plant Extracts, Antioxidant",,"Extract that can have antioxidant properties, although it also may have harmful components for skin."
